status,direction,option_type,strike,expiry,entry_ts,exit_ts,entry_price,exit_price,sl_price,target_price,exit_reason,gross_pnl,charges,net_pnl,qty,lots,spot_at_entry,delta_at_entry,iv_at_entry,vix,trade_date,entry_slippage_pct,otm_offset,strategy,risk_multiplier,regime
COMPLETED,CALL,CE,22300,2025-03-06,2025-03-05T10:25:00,2025-03-05T11:45:00,51.55,83.78,36.08,85.05,TARGET_HIT,2094.92,56.22,2038.71,65,1,22251.1,0.403,0.1401,14.0,2025-03-06,1.5,1,EMA_PULLBACK,1.0,STRONG_BULL
COMPLETED,CALL,CE,22250,2025-03-13,2025-03-05T10:20:00,2025-03-05T12:30:00,117.96,193.08,82.57,194.64,TARGET_HIT,4882.77,67.94,4814.82,65,1,22236.6,0.5019,0.14,14.0,2025-03-11,0.8,0,EMA_PULLBACK,1.0,BULL_PULLBACK
COMPLETED,CALL,CE,22900,2025-03-20,2025-03-19T10:15:00,2025-03-19T15:05:00,100.68,69.7,70.48,166.12,SL_HIT,-2013.67,57.17,-2070.83,65,1,22899.35,0.5163,0.133,13.3,2025-03-19,1.1,0,EMA_PULLBACK,1.0,BULL_PULLBACK
COMPLETED,CALL,CE,22900,2025-03-27,2025-03-19T10:15:00,2025-03-19T15:15:00,179.43,157.22,125.6,296.06,FORCE_EXIT,-1443.73,67.65,-1511.38,65,1,22899.35,0.5322,0.1258,12.58,2025-03-21,0.5,0,EMA_PULLBACK,1.0,BULL_PULLBACK
COMPLETED,CALL,CE,23400,2025-03-27,2025-03-21T10:45:00,2025-03-21T13:40:00,117.85,87.94,88.38,182.66,SL_HIT,-1943.73,59.38,-2003.12,65,1,23341.5,0.4553,0.1371,13.7,2025-03-24,0.5,1,MOMENTUM_BREAKOUT,1.0,STRONG_BULL
COMPLETED,CALL,CE,23550,2025-03-27,2025-03-24T09:45:00,2025-03-24T11:10:00,128.16,168.41,89.71,211.46,SL_HIT,2616.62,66.37,2550.25,65,1,23502.65,0.4706,0.1371,13.7,2025-03-24,0.5,1,EMA_PULLBACK,1.0,STRONG_BULL
COMPLETED,CALL,CE,23400,2025-03-27,2025-03-21T10:45:00,2025-03-21T13:35:00,97.8,72.76,73.35,151.59,SL_HIT,-1627.37,57.29,-1684.66,65,1,23341.5,0.4417,0.1365,13.64,2025-03-25,0.8,1,MOMENTUM_BREAKOUT,1.0,STRONG_BULL
COMPLETED,CALL,CE,23550,2025-03-27,2025-03-24T09:45:00,2025-03-24T11:10:00,108.38,150.53,75.86,178.82,SL_HIT,2740.02,64.07,2675.95,65,1,23502.65,0.4599,0.1365,13.64,2025-03-25,0.8,1,EMA_PULLBACK,1.0,STRONG_BULL
COMPLETED,CALL,CE,23250,2025-03-27,2025-03-21T10:05:00,2025-03-21T11:10:00,86.92,113.83,60.84,143.42,SL_HIT,1749.19,60.17,1689.02,65,1,23269.95,0.5567,0.133,13.3,2025-03-27,1.5,0,EMA_PULLBACK,1.0,BULL_PULLBACK
COMPLETED,CALL,CE,23350,2025-04-03,2025-03-21T11:15:00,2025-03-21T15:15:00,178.6,159.66,125.02,294.69,FORCE_EXIT,-1230.74,67.81,-1298.56,65,1,23343.6,0.5259,0.1272,12.72,2025-03-28,0.5,0,EMA_PULLBACK,1.0,BULL_PULLBACK
COMPLETED,PUT,PE,23650,2025-04-03,2025-03-25T11:20:00,2025-03-25T12:00:00,82.28,56.96,57.6,135.76,SL_HIT,-1645.66,55.35,-1701.0,65,1,23671.75,-0.448,0.1372,13.72,2025-04-02,1.1,0,EMA_PULLBACK,0.85,BEAR_PULLBACK
COMPLETED,PUT,PE,23200,2025-04-10,2025-04-01T11:30:00,2025-04-01T15:15:00,156.97,147.27,109.88,259.0,FORCE_EXIT,-630.54,65.88,-696.42,65,1,23220.5,-0.4658,0.2044,20.44,2025-04-08,1.17,0,EMA_PULLBACK,0.75,BEAR_PULLBACK
