status,direction,option_type,strike,expiry,entry_ts,exit_ts,entry_price,exit_price,sl_price,target_price,exit_reason,gross_pnl,charges,net_pnl,qty,lots,spot_at_entry,delta_at_entry,iv_at_entry,vix,trade_date,entry_slippage_pct,otm_offset,strategy,risk_multiplier,regime
COMPLETED,CALL,CE,22900,2025-03-20,2025-03-19T10:15:00,2025-03-19T15:05:00,100.68,69.7,70.48,166.12,SL_HIT,-2013.67,57.17,-2070.83,65,1,22899.35,0.5163,0.133,13.3,2025-03-19,1.1,0,EMA_PULLBACK,1.0,BULL_PULLBACK
COMPLETED,CALL,CE,23250,2025-03-27,2025-03-21T10:05:00,2025-03-21T11:10:00,86.92,113.83,60.84,143.42,SL_HIT,1749.19,60.17,1689.02,65,1,23269.95,0.5567,0.133,13.3,2025-03-27,1.5,0,EMA_PULLBACK,1.0,BULL_PULLBACK
COMPLETED,CALL,CE,22800,2025-04-17,2025-04-11T10:40:00,2025-04-11T11:50:00,108.45,136.3,75.92,178.95,SL_HIT,1809.9,62.92,1746.98,65,1,22784.35,0.4925,0.1587,15.87,2025-04-16,1.1,0,EMA_PULLBACK,1.0,BULL_PULLBACK
COMPLETED,CALL,CE,22800,2025-04-17,2025-04-11T10:40:00,2025-04-11T11:35:00,73.59,119.6,51.51,121.42,TARGET_HIT,2990.71,60.07,2930.64,65,1,22784.35,0.479,0.1547,15.47,2025-04-17,1.5,0,EMA_PULLBACK,1.0,BULL_PULLBACK
COMPLETED,CALL,CE,24050,2025-04-24,2025-04-21T10:25:00,2025-04-21T11:35:00,90.24,107.12,63.17,148.9,SL_HIT,1096.81,59.77,1037.05,65,1,24045.65,0.5031,0.1625,16.25,2025-04-24,1.5,0,EMA_PULLBACK,1.0,BULL_PULLBACK
COMPLETED,CALL,CE,24750,2025-05-15,2025-05-14T10:05:00,2025-05-14T10:50:00,98.76,68.09,69.13,162.95,SL_HIT,-1993.17,56.95,-2050.12,65,1,24743.5,0.5004,0.1689,16.89,2025-05-15,1.5,0,EMA_PULLBACK,1.0,BULL_PULLBACK
COMPLETED,CALL,CE,24850,2025-06-12,2025-06-06T10:30:00,2025-06-06T11:40:00,116.6,190.27,81.62,192.39,TARGET_HIT,4788.7,67.66,4721.05,65,1,24860.55,0.5328,0.1367,13.67,2025-06-11,1.1,0,EMA_PULLBACK,1.0,BULL_PULLBACK
COMPLETED,CALL,CE,24850,2025-06-12,2025-06-06T10:30:00,2025-06-06T11:00:00,87.7,142.54,61.39,144.71,TARGET_HIT,3564.43,62.54,3501.9,65,1,24860.55,0.5334,0.1402,14.02,2025-06-12,1.5,0,EMA_PULLBACK,1.0,BULL_PULLBACK
COMPLETED,PUT,PE,24850,2025-06-19,2025-06-18T10:30:00,2025-06-18T11:35:00,76.13,94.84,57.1,125.61,SL_HIT,1216.21,58.16,1158.04,65,1,24854.35,-0.4795,0.1426,14.26,2025-06-19,1.5,0,VWAP_RECLAIM,0.85,SKIP_RANGING
COMPLETED,CALL,CE,24900,2025-06-26,2025-06-20T10:00:00,2025-06-20T10:15:00,66.32,107.79,46.43,109.43,TARGET_HIT,2695.47,58.8,2636.67,65,1,24876.6,0.4633,0.1259,12.59,2025-06-26,1.5,0,EMA_PULLBACK,1.0,BULL_PULLBACK
COMPLETED,PUT,PE,25250,2025-07-17,2025-07-11T10:10:00,2025-07-11T11:10:00,119.19,143.0,83.43,196.67,SL_HIT,1547.38,63.92,1483.46,65,1,25256.75,-0.4657,0.1198,11.98,2025-07-14,0.5,0,EMA_PULLBACK,1.0,BEAR_PULLBACK
