status,direction,option_type,strike,expiry,entry_ts,exit_ts,entry_price,exit_price,sl_price,target_price,exit_reason,gross_pnl,charges,net_pnl,qty,lots,spot_at_entry,delta_at_entry,iv_at_entry,vix,trade_date,entry_slippage_pct,otm_offset,strategy,tier,risk_multiplier,regime,quality_score
COMPLETED,CALL,CE,22250,2025-03-06,2025-03-05T10:20:00,2025-03-05T11:35:00,95.77,132.61,74.7,134.08,TARGET_HIT,2394.23,62.08,2332.16,65,1,22236.6,0.4947,0.14,14.0,2025-03-05,1.1,0,EMA_PULLBACK,2,1.0,NEUTRAL,3
COMPLETED,CALL,CE,22250,2025-03-06,2025-03-05T10:25:00,2025-03-05T11:50:00,102.72,162.54,73.96,164.35,TARGET_HIT,3888.58,64.81,3823.77,65,1,22251.1,0.5184,0.14,14.0,2025-03-05,1.1,0,EMA_PULLBACK,1,1.0,NEUTRAL,4
COMPLETED,CALL,CE,22250,2025-03-06,2025-03-05T10:20:00,2025-03-05T10:50:00,67.92,76.26,52.97,95.08,SL_HIT,542.65,56.3,486.35,65,1,22236.6,0.4822,0.14,14.0,2025-03-06,1.5,0,EMA_PULLBACK,2,1.0,DIRECTIONAL,3
COMPLETED,CALL,CE,22250,2025-03-06,2025-03-05T10:25:00,2025-03-05T11:45:00,74.62,117.6,53.72,119.39,TARGET_HIT,2793.68,59.95,2733.73,65,1,22251.1,0.5146,0.14,14.0,2025-03-06,1.5,0,EMA_PULLBACK,1,1.0,DIRECTIONAL,4
COMPLETED,CALL,CE,22300,2025-03-13,2025-03-05T11:30:00,2025-03-05T11:55:00,96.83,116.57,75.53,135.56,SL_HIT,1282.94,60.82,1222.12,65,1,22301.35,0.518,0.14,14.0,2025-03-12,1.1,0,MOMENTUM_BREAKOUT,2,1.0,DIRECTIONAL,3
COMPLETED,CALL,CE,22450,2025-03-13,2025-03-06T12:35:00,2025-03-06T13:55:00,86.66,103.44,67.59,121.32,SL_HIT,1090.61,59.31,1031.3,65,1,22443.3,0.5021,0.14,14.0,2025-03-12,1.1,0,EMA_PULLBACK,2,1.0,DIRECTIONAL,3
COMPLETED,CALL,CE,22450,2025-03-13,2025-03-06T12:50:00,2025-03-06T12:55:00,98.61,82.89,83.81,120.3,SL_HIT,-1021.33,58.15,-1079.48,65,1,22468.8,0.5497,0.14,14.0,2025-03-12,1.1,0,EMA_PULLBACK,3,1.0,DIRECTIONAL,2
COMPLETED,CALL,CE,22450,2025-03-13,2025-03-06T13:00:00,2025-03-06T13:50:00,59.32,81.8,46.27,83.04,TARGET_HIT,1461.25,56.39,1404.86,65,1,22463.8,0.5523,0.14,14.0,2025-03-13,1.5,0,EMA_PULLBACK,2,1.0,NEUTRAL,3
COMPLETED,CALL,CE,22600,2025-03-13,2025-03-07T10:45:00,2025-03-07T10:50:00,79.76,61.28,62.22,111.67,SL_HIT,-1201.28,55.59,-1256.87,65,1,22613.35,0.5423,0.14,14.0,2025-03-13,1.5,0,EMA_PULLBACK,2,1.0,NEUTRAL,3
COMPLETED,PUT,PE,22350,2025-03-20,2025-03-12T12:15:00,2025-03-12T12:30:00,112.97,95.54,96.02,137.82,SL_HIT,-1132.65,59.79,-1192.45,65,1,22355.85,-0.4699,0.1342,13.42,2025-03-17,0.5,0,EMA_PULLBACK,3,0.85,DIRECTIONAL,2
COMPLETED,CALL,CE,22550,2025-03-20,2025-03-17T09:55:00,2025-03-17T10:15:00,119.61,92.55,93.3,167.45,SL_HIT,-1758.94,59.83,-1818.78,65,1,22546.1,0.5159,0.1321,13.21,2025-03-18,0.8,0,EMA_PULLBACK,2,1.0,DIRECTIONAL,3
COMPLETED,CALL,CE,22550,2025-03-20,2025-03-17T09:55:00,2025-03-17T10:15:00,99.23,76.55,77.4,138.92,SL_HIT,-1474.32,57.66,-1531.98,65,1,22546.1,0.5112,0.133,13.3,2025-03-19,1.1,0,EMA_PULLBACK,2,1.0,DIRECTIONAL,3
COMPLETED,CALL,CE,22750,2025-03-20,2025-03-18T11:45:00,2025-03-18T12:20:00,104.29,87.67,88.64,127.23,SL_HIT,-1080.17,58.78,-1138.95,65,1,22772.8,0.5574,0.133,13.3,2025-03-19,1.1,0,EMA_PULLBACK,3,1.0,DIRECTIONAL,2
COMPLETED,CALL,CE,22900,2025-03-20,2025-03-19T10:15:00,2025-03-19T10:50:00,100.68,77.67,78.53,140.95,SL_HIT,-1495.89,57.82,-1553.7,65,1,22899.35,0.5163,0.133,13.3,2025-03-19,1.1,0,RELAXED_ORB,2,1.0,DIRECTIONAL,3
COMPLETED,CALL,CE,22400,2025-03-20,2025-03-12T13:55:00,2025-03-12T14:05:00,44.16,53.07,37.54,53.87,TARGET_HIT,578.96,53.4,525.55,65,1,22412.8,0.5641,0.126,12.6,2025-03-20,2.0,0,VWAP_RECLAIM,3,0.6,DIRECTIONAL,2
COMPLETED,CALL,CE,22550,2025-03-20,2025-03-17T09:55:00,2025-03-17T10:00:00,69.15,53.13,53.94,96.81,SL_HIT,-1041.43,54.47,-1095.9,65,1,22546.1,0.5046,0.126,12.6,2025-03-20,1.5,0,EMA_PULLBACK,2,1.0,DIRECTIONAL,3
COMPLETED,CALL,CE,22750,2025-03-20,2025-03-18T11:45:00,2025-03-18T12:05:00,71.02,59.46,60.37,86.64,SL_HIT,-751.29,55.07,-806.35,65,1,22772.8,0.5758,0.126,12.6,2025-03-20,1.5,0,EMA_PULLBACK,3,1.0,DIRECTIONAL,2
COMPLETED,CALL,CE,23050,2025-03-27,2025-03-20T10:20:00,2025-03-20T13:10:00,119.45,144.57,101.53,145.73,TARGET_HIT,1632.38,64.06,1568.32,65,1,23036.9,0.5029,0.1364,13.64,2025-03-25,0.8,0,EMA_PULLBACK,3,1.0,DIRECTIONAL,2
COMPLETED,CALL,CE,23250,2025-03-27,2025-03-21T09:30:00,2025-03-21T10:00:00,118.97,118.25,92.8,166.56,SL_HIT,-46.52,61.9,-108.42,65,1,23225.9,0.4899,0.1364,13.64,2025-03-25,0.8,0,MOMENTUM_BREAKOUT,2,1.0,DIRECTIONAL,3
COMPLETED,CALL,CE,23350,2025-03-27,2025-03-21T11:50:00,2025-03-21T13:10:00,119.28,118.56,93.04,166.99,SL_HIT,-46.64,61.94,-108.58,65,1,23347.75,0.5162,0.1364,13.64,2025-03-25,0.8,0,EMA_PULLBACK,2,1.0,DIRECTIONAL,3
COMPLETED,CALL,CE,23000,2025-03-27,2025-03-20T10:15:00,2025-03-20T12:40:00,115.81,139.73,98.44,141.28,TARGET_HIT,1555.02,63.51,1491.51,65,1,23024.15,0.5566,0.1347,13.47,2025-03-26,1.1,0,EMA_PULLBACK,3,1.0,DIRECTIONAL,2
COMPLETED,CALL,CE,23050,2025-03-27,2025-03-20T10:20:00,2025-03-20T12:50:00,95.76,115.54,81.4,116.83,TARGET_HIT,1285.86,60.69,1225.18,65,1,23036.9,0.4956,0.1347,13.47,2025-03-26,1.1,0,EMA_PULLBACK,3,1.0,DIRECTIONAL,2
COMPLETED,CALL,CE,23250,2025-03-27,2025-03-21T09:30:00,2025-03-21T09:45:00,68.3,77.92,53.27,95.62,SL_HIT,625.42,56.45,568.97,65,1,23225.9,0.4633,0.133,13.3,2025-03-27,1.5,0,MOMENTUM_BREAKOUT,2,1.0,DIRECTIONAL,3
COMPLETED,CALL,CE,23250,2025-03-27,2025-03-21T09:40:00,2025-03-21T10:00:00,92.11,70.77,71.84,128.95,SL_HIT,-1387.18,56.89,-1444.06,65,1,23273.85,0.5637,0.133,13.3,2025-03-27,1.5,0,EMA_PULLBACK,2,1.0,DIRECTIONAL,3
COMPLETED,CALL,CE,23250,2025-03-27,2025-03-21T09:55:00,2025-03-21T10:00:00,84.77,70.98,72.06,103.42,SL_HIT,-896.79,56.59,-953.38,65,1,23263.95,0.5433,0.133,13.3,2025-03-27,1.5,0,EMA_PULLBACK,3,1.0,DIRECTIONAL,2
COMPLETED,PUT,PE,23650,2025-04-03,2025-03-25T13:15:00,2025-03-25T13:20:00,101.68,85.74,86.43,124.05,SL_HIT,-1036.31,58.51,-1094.82,65,1,23656.35,-0.4726,0.1378,13.78,2025-04-01,0.8,0,VWAP_RECLAIM,3,0.6,DIRECTIONAL,2
COMPLETED,PUT,PE,23600,2025-04-03,2025-03-26T12:15:00,2025-03-26T12:45:00,112.97,87.41,88.12,158.16,SL_HIT,-1661.29,59.13,-1720.43,65,1,23591.65,-0.4928,0.1378,13.78,2025-04-01,0.8,0,EMA_PULLBACK,2,1.0,DIRECTIONAL,3
COMPLETED,PUT,PE,23500,2025-04-03,2025-03-28T09:35:00,2025-03-28T10:30:00,113.08,80.77,81.42,180.93,SL_HIT,-2100.39,58.6,-2158.99,65,1,23512.6,-0.4631,0.1378,13.78,2025-04-01,0.8,0,MOMENTUM_BREAKOUT,1,1.0,DIRECTIONAL,4
COMPLETED,PUT,PE,23650,2025-04-03,2025-03-25T11:35:00,2025-03-25T11:55:00,93.43,72.08,72.88,130.81,SL_HIT,-1388.19,57.05,-1445.24,65,1,23645.55,-0.4918,0.1372,13.72,2025-04-02,1.1,0,EMA_PULLBACK,2,0.85,DIRECTIONAL,3
COMPLETED,PUT,PE,23600,2025-04-03,2025-03-26T12:15:00,2025-03-26T12:35:00,91.65,70.7,71.49,128.31,SL_HIT,-1361.74,56.86,-1418.6,65,1,23591.65,-0.4996,0.1372,13.72,2025-04-02,1.1,0,EMA_PULLBACK,2,1.0,DIRECTIONAL,3
COMPLETED,PUT,PE,23600,2025-04-03,2025-03-26T12:15:00,2025-03-26T12:30:00,61.7,47.16,48.12,86.37,SL_HIT,-944.82,53.67,-998.49,65,1,23591.65,-0.513,0.136,13.6,2025-04-03,1.5,0,EMA_PULLBACK,2,0.85,DIRECTIONAL,3
COMPLETED,PUT,PE,21850,2025-04-10,2025-04-07T12:55:00,2025-04-07T13:25:00,116.1,89.09,90.56,162.53,SL_HIT,-1755.21,59.4,-1814.61,65,1,21865.25,-0.4696,0.2143,21.43,2025-04-09,1.61,0,EMA_PULLBACK,2,0.75,DIRECTIONAL,3
COMPLETED,CALL,CE,22450,2025-04-17,2025-04-08T12:00:00,2025-04-08T12:10:00,105.96,127.85,90.07,129.28,TARGET_HIT,1422.85,62.12,1360.73,65,1,22450.4,0.5145,0.1587,15.87,2025-04-16,1.1,0,EMA_PULLBACK,3,1.0,DIRECTIONAL,2
COMPLETED,CALL,CE,22500,2025-04-17,2025-04-08T12:05:00,2025-04-08T12:15:00,98.66,108.84,71.03,157.85,SL_HIT,662.05,60.27,601.79,65,1,22486.7,0.4927,0.1587,15.87,2025-04-16,1.1,0,EMA_PULLBACK,1,1.0,DIRECTIONAL,4
COMPLETED,CALL,CE,22550,2025-04-17,2025-04-08T12:20:00,2025-04-08T12:30:00,65.18,102.72,46.93,104.29,TARGET_HIT,2440.27,58.34,2381.93,65,1,22550.65,0.5106,0.1547,15.47,2025-04-17,1.5,0,EMA_PULLBACK,1,1.0,DIRECTIONAL,5
COMPLETED,CALL,CE,22900,2025-04-24,2025-04-11T11:55:00,2025-04-11T13:30:00,118.26,91.5,92.24,165.56,SL_HIT,-1739.02,59.69,-1798.71,65,1,22875.3,0.4861,0.1523,15.23,2025-04-22,0.8,0,EMA_PULLBACK,2,1.0,DIRECTIONAL,3
COMPLETED,CALL,CE,23550,2025-04-24,2025-04-17T11:30:00,2025-04-17T12:25:00,109.16,172.73,78.59,174.65,TARGET_HIT,4132.3,65.91,4066.39,65,1,23538.3,0.4973,0.1596,15.96,2025-04-23,1.1,0,MOMENTUM_BREAKOUT,1,1.0,DIRECTIONAL,4
COMPLETED,CALL,CE,23550,2025-04-24,2025-04-17T11:30:00,2025-04-17T11:45:00,74.17,94.32,53.4,118.68,SL_HIT,1309.47,58.04,1251.43,65,1,23538.3,0.4855,0.1625,16.25,2025-04-24,1.5,0,MOMENTUM_BREAKOUT,1,1.0,DIRECTIONAL,4
COMPLETED,CALL,CE,24050,2025-04-24,2025-04-21T10:25:00,2025-04-21T11:35:00,90.24,107.12,64.97,144.39,SL_HIT,1096.81,59.77,1037.05,65,1,24045.65,0.5031,0.1625,16.25,2025-04-24,1.5,0,EMA_PULLBACK,1,1.0,DIRECTIONAL,4
COMPLETED,CALL,CE,24050,2025-04-24,2025-04-21T10:40:00,2025-04-21T13:15:00,99.55,131.99,71.68,159.28,SL_HIT,2108.39,62.19,2046.2,65,1,24067.65,0.5431,0.1625,16.25,2025-04-24,1.5,0,EMA_PULLBACK,1,1.0,DIRECTIONAL,4
COMPLETED,PUT,PE,23850,2025-05-01,2025-04-25T11:45:00,2025-04-25T12:10:00,115.42,82.16,83.1,184.67,SL_HIT,-2161.78,58.81,-2220.59,65,1,23864.35,-0.4689,0.1822,18.22,2025-04-30,1.13,0,EMA_PULLBACK,1,0.85,NEUTRAL,4
COMPLETED,CALL,CE,24350,2025-05-01,2025-04-28T12:15:00,2025-04-28T14:20:00,117.74,90.8,91.84,164.84,SL_HIT,-1751.31,59.61,-1810.92,65,1,24327.65,0.4837,0.1822,18.22,2025-04-30,1.13,0,EMA_PULLBACK,2,1.0,NEUTRAL,3
COMPLETED,PUT,PE,24300,2025-05-08,2025-05-02T12:05:00,2025-05-02T12:35:00,119.98,132.21,93.59,167.98,SL_HIT,794.81,63.08,731.73,65,1,24316.9,-0.4671,0.1906,19.06,2025-05-07,1.26,0,EMA_PULLBACK,2,0.85,DIRECTIONAL,3
COMPLETED,CALL,CE,24450,2025-05-08,2025-05-07T11:30:00,2025-05-07T11:45:00,94.93,67.01,68.35,151.88,SL_HIT,-1814.38,56.7,-1871.08,65,1,24425.05,0.4699,0.2101,21.01,2025-05-08,1.95,0,MOMENTUM_BREAKOUT,1,0.75,DIRECTIONAL,4
COMPLETED,CALL,CE,24750,2025-05-15,2025-05-14T09:40:00,2025-05-14T09:50:00,102.36,78.65,79.84,143.31,SL_HIT,-1541.64,57.97,-1599.6,65,1,24742.8,0.5001,0.1689,16.89,2025-05-15,1.5,0,MOMENTUM_BREAKOUT,2,1.0,DIRECTIONAL,3
COMPLETED,CALL,CE,24750,2025-05-15,2025-05-14T09:40:00,2025-05-14T09:50:00,102.36,78.65,79.84,143.31,SL_HIT,-1541.64,57.97,-1599.6,65,1,24742.8,0.5001,0.1689,16.89,2025-05-15,1.5,0,EMA_PULLBACK,2,1.0,DIRECTIONAL,3
COMPLETED,CALL,CE,24750,2025-05-15,2025-05-14T09:55:00,2025-05-14T10:50:00,92.4,70.99,72.07,129.36,SL_HIT,-1391.56,56.92,-1448.48,65,1,24727.4,0.4749,0.1689,16.89,2025-05-15,1.5,0,EMA_PULLBACK,2,1.0,DIRECTIONAL,3
COMPLETED,PUT,PE,24600,2025-05-22,2025-05-14T12:45:00,2025-05-14T13:25:00,112.59,80.17,81.06,180.14,SL_HIT,-2107.04,58.53,-2165.56,65,1,24602.8,-0.4838,0.1755,17.55,2025-05-21,1.1,0,EMA_PULLBACK,1,1.0,NEUTRAL,4
COMPLETED,PUT,PE,24600,2025-05-22,2025-05-15T11:30:00,2025-05-15T11:40:00,75.03,57.65,58.52,105.04,SL_HIT,-1130.02,55.09,-1185.11,65,1,24619.95,-0.4536,0.1726,17.26,2025-05-22,1.5,0,VWAP_RECLAIM,2,0.425,DIRECTIONAL,3
COMPLETED,PUT,PE,24600,2025-05-22,2025-05-15T11:30:00,2025-05-15T11:40:00,75.03,57.65,58.52,105.04,SL_HIT,-1130.02,55.09,-1185.11,65,1,24619.95,-0.4536,0.1726,17.26,2025-05-22,1.5,0,VWAP_RECLAIM_REENTRY,2,0.31875,DIRECTIONAL,3
COMPLETED,CALL,CE,24750,2025-05-29,2025-05-23T09:30:00,2025-05-23T10:25:00,103.1,101.75,74.23,164.95,SL_HIT,-87.32,59.88,-147.19,65,1,24746.9,0.5068,0.1642,16.42,2025-05-29,1.5,0,MOMENTUM_BREAKOUT,1,1.0,DIRECTIONAL,5
