status,direction,option_type,strike,expiry,entry_ts,exit_ts,entry_price,exit_price,sl_price,target_price,exit_reason,gross_pnl,charges,net_pnl,qty,lots,spot_at_entry,delta_at_entry,iv_at_entry,vix,trade_date,entry_slippage_pct,otm_offset,strategy,tier,risk_multiplier,regime,quality_score
COMPLETED,CALL,CE,22250,2025-03-06,2025-03-05T10:20:00,2025-03-05T11:45:00,95.77,151.55,68.96,153.24,TARGET_HIT,3625.59,63.62,3561.97,65,1,22236.6,0.4947,0.14,14.0,2025-03-05,1.1,0,EMA_PULLBACK,2,1.0,NEUTRAL,3
COMPLETED,CALL,CE,22250,2025-03-06,2025-03-05T10:20:00,2025-03-05T11:35:00,67.92,107.03,48.9,108.66,TARGET_HIT,2542.75,58.81,2483.94,65,1,22236.6,0.4822,0.14,14.0,2025-03-06,1.5,0,EMA_PULLBACK,2,1.0,DIRECTIONAL,3
COMPLETED,CALL,CE,22450,2025-03-13,2025-03-06T12:35:00,2025-03-06T14:25:00,86.66,102.22,62.39,138.65,SL_HIT,1011.65,59.21,952.43,65,1,22443.3,0.5021,0.14,14.0,2025-03-12,1.1,0,EMA_PULLBACK,2,1.0,DIRECTIONAL,3
COMPLETED,CALL,CE,22450,2025-03-13,2025-03-06T12:50:00,2025-03-06T14:30:00,98.61,97.72,71.0,157.77,SL_HIT,-57.83,59.36,-117.18,65,1,22468.8,0.5497,0.14,14.0,2025-03-12,1.1,0,EMA_PULLBACK,3,1.0,DIRECTIONAL,2
COMPLETED,CALL,CE,22450,2025-03-13,2025-03-06T13:00:00,2025-03-06T14:05:00,59.32,73.19,42.71,94.91,SL_HIT,901.7,55.69,846.02,65,1,22463.8,0.5523,0.14,14.0,2025-03-13,1.5,0,EMA_PULLBACK,2,1.0,NEUTRAL,3
COMPLETED,CALL,CE,22600,2025-03-13,2025-03-07T10:45:00,2025-03-07T10:50:00,79.76,56.57,57.43,127.62,SL_HIT,-1507.7,55.21,-1562.9,65,1,22613.35,0.5423,0.14,14.0,2025-03-13,1.5,0,EMA_PULLBACK,2,1.0,NEUTRAL,3
COMPLETED,PUT,PE,22350,2025-03-20,2025-03-12T12:15:00,2025-03-12T13:15:00,112.97,80.93,81.34,180.75,SL_HIT,-2082.47,58.61,-2141.07,65,1,22355.85,-0.4699,0.1342,13.42,2025-03-17,0.5,0,EMA_PULLBACK,3,0.85,DIRECTIONAL,2
COMPLETED,CALL,CE,22550,2025-03-20,2025-03-17T09:55:00,2025-03-17T10:20:00,119.61,85.43,86.12,191.38,SL_HIT,-2221.69,59.25,-2280.95,65,1,22546.1,0.5159,0.1321,13.21,2025-03-18,0.8,0,EMA_PULLBACK,2,1.0,DIRECTIONAL,3
COMPLETED,CALL,CE,22550,2025-03-20,2025-03-17T09:55:00,2025-03-17T10:15:00,99.23,70.66,71.44,158.77,SL_HIT,-1857.05,57.18,-1914.24,65,1,22546.1,0.5112,0.133,13.3,2025-03-19,1.1,0,EMA_PULLBACK,2,1.0,DIRECTIONAL,3
COMPLETED,CALL,CE,22750,2025-03-20,2025-03-18T11:45:00,2025-03-18T12:25:00,104.29,74.26,75.09,166.86,SL_HIT,-1951.7,57.69,-2009.39,65,1,22772.8,0.5574,0.133,13.3,2025-03-19,1.1,0,EMA_PULLBACK,3,1.0,DIRECTIONAL,2
COMPLETED,CALL,CE,22900,2025-03-20,2025-03-19T10:15:00,2025-03-19T13:10:00,100.68,71.69,72.49,161.09,SL_HIT,-1884.22,57.33,-1941.55,65,1,22899.35,0.5163,0.133,13.3,2025-03-19,1.1,0,RELAXED_ORB,2,1.0,DIRECTIONAL,3
COMPLETED,CALL,CE,22400,2025-03-20,2025-03-12T13:55:00,2025-03-12T14:20:00,44.16,58.96,31.79,70.66,SL_HIT,961.78,53.88,907.9,65,1,22412.8,0.5641,0.126,12.6,2025-03-20,2.0,0,VWAP_RECLAIM,3,0.6,DIRECTIONAL,2
COMPLETED,CALL,CE,22550,2025-03-20,2025-03-17T09:55:00,2025-03-17T10:10:00,69.15,48.79,49.79,110.64,SL_HIT,-1323.25,54.12,-1377.37,65,1,22546.1,0.5046,0.126,12.6,2025-03-20,1.5,0,EMA_PULLBACK,2,1.0,DIRECTIONAL,3
COMPLETED,CALL,CE,22750,2025-03-20,2025-03-18T11:45:00,2025-03-18T12:25:00,71.02,50.37,51.13,113.63,SL_HIT,-1342.39,54.33,-1396.72,65,1,22772.8,0.5758,0.126,12.6,2025-03-20,1.5,0,EMA_PULLBACK,3,1.0,DIRECTIONAL,2
COMPLETED,CALL,CE,23050,2025-03-27,2025-03-20T10:20:00,2025-03-20T13:50:00,119.45,189.59,86.01,191.12,TARGET_HIT,4559.23,67.72,4491.51,65,1,23036.9,0.5029,0.1364,13.64,2025-03-25,0.8,0,EMA_PULLBACK,3,1.0,DIRECTIONAL,2
COMPLETED,CALL,CE,23000,2025-03-27,2025-03-20T10:15:00,2025-03-20T13:15:00,115.81,183.25,83.38,185.29,TARGET_HIT,4383.98,67.05,4316.93,65,1,23024.15,0.5566,0.1347,13.47,2025-03-26,1.1,0,EMA_PULLBACK,3,1.0,DIRECTIONAL,2
COMPLETED,CALL,CE,23250,2025-03-27,2025-03-21T09:40:00,2025-03-21T11:10:00,92.11,113.83,66.32,147.37,SL_HIT,1412.06,60.39,1351.67,65,1,23273.85,0.5637,0.133,13.3,2025-03-27,1.5,0,EMA_PULLBACK,2,1.0,DIRECTIONAL,3
