status,direction,option_type,strike,expiry,entry_ts,exit_ts,entry_price,exit_price,sl_price,target_price,exit_reason,gross_pnl,charges,net_pnl,qty,lots,spot_at_entry,delta_at_entry,iv_at_entry,vix,trade_date,entry_slippage_pct,otm_offset,strategy,tier,risk_multiplier,regime,quality_score
COMPLETED,CALL,CE,22250,2025-03-06,2025-03-05T10:25:00,2025-03-05T11:45:00,74.62,117.6,53.72,119.39,TARGET_HIT,2793.68,59.95,2733.73,65,1,22251.1,0.5146,0.14,14.0,2025-03-06,1.5,0,EMA_PULLBACK,1,1.0,STRONG_BULL,4
COMPLETED,CALL,CE,22250,2025-03-13,2025-03-05T10:20:00,2025-03-05T11:50:00,117.96,187.23,84.93,188.74,TARGET_HIT,4502.45,67.47,4434.98,65,1,22236.6,0.5019,0.14,14.0,2025-03-11,0.8,0,EMA_PULLBACK,2,1.0,BULL_PULLBACK,3
COMPLETED,CALL,CE,22450,2025-03-13,2025-03-06T12:35:00,2025-03-06T14:25:00,86.66,102.22,62.39,138.65,SL_HIT,1011.65,59.21,952.43,65,1,22443.3,0.5021,0.14,14.0,2025-03-12,1.1,0,EMA_PULLBACK,2,1.0,BULL_PULLBACK,3
COMPLETED,CALL,CE,22450,2025-03-13,2025-03-06T13:00:00,2025-03-06T15:15:00,94.77,126.47,68.23,151.63,FORCE_EXIT,2060.77,61.53,1999.24,65,1,22463.8,0.5405,0.14,14.0,2025-03-12,1.1,0,EMA_PULLBACK,2,1.0,BULL_PULLBACK,3
COMPLETED,CALL,CE,22550,2025-03-20,2025-03-17T09:55:00,2025-03-17T10:15:00,99.23,70.66,71.44,158.77,SL_HIT,-1857.05,57.18,-1914.24,65,1,22546.1,0.5112,0.133,13.3,2025-03-19,1.1,0,EMA_PULLBACK,2,1.0,BULL_PULLBACK,3
COMPLETED,CALL,CE,22900,2025-03-20,2025-03-19T10:15:00,2025-03-19T13:10:00,100.68,71.69,72.49,161.09,SL_HIT,-1884.22,57.33,-1941.55,65,1,22899.35,0.5163,0.133,13.3,2025-03-19,1.1,0,RELAXED_ORB,2,1.0,BULL_PULLBACK,3
COMPLETED,CALL,CE,22900,2025-03-20,2025-03-19T10:15:00,2025-03-19T13:10:00,100.68,71.69,72.49,161.09,SL_HIT,-1884.22,57.33,-1941.55,65,1,22899.35,0.5163,0.133,13.3,2025-03-19,1.1,0,EMA_PULLBACK,2,1.0,BULL_PULLBACK,3
COMPLETED,CALL,CE,23250,2025-03-27,2025-03-21T09:40:00,2025-03-21T11:10:00,92.11,113.83,66.32,147.37,SL_HIT,1412.06,60.39,1351.67,65,1,23273.85,0.5637,0.133,13.3,2025-03-27,1.5,0,EMA_PULLBACK,2,1.0,BULL_PULLBACK,3
COMPLETED,CALL,CE,23250,2025-03-27,2025-03-21T10:05:00,2025-03-21T11:10:00,86.92,113.83,62.58,139.07,SL_HIT,1749.19,60.17,1689.02,65,1,23269.95,0.5567,0.133,13.3,2025-03-27,1.5,0,EMA_PULLBACK,2,1.0,BULL_PULLBACK,3
COMPLETED,CALL,CE,22500,2025-04-17,2025-04-08T12:05:00,2025-04-08T12:15:00,98.66,108.84,71.03,157.85,SL_HIT,662.05,60.27,601.79,65,1,22486.7,0.4927,0.1587,15.87,2025-04-16,1.1,0,EMA_PULLBACK,1,1.0,BULL_PULLBACK,4
