status,direction,option_type,strike,expiry,entry_ts,exit_ts,entry_price,exit_price,sl_price,target_price,exit_reason,gross_pnl,charges,net_pnl,qty,lots,spot_at_entry,delta_at_entry,iv_at_entry,vix,trade_date,entry_slippage_pct,otm_offset,strategy,risk_multiplier,regime
COMPLETED,CALL,CE,22250,2025-03-06,2025-03-05T10:25:00,2025-03-05T11:45:00,74.62,121.27,52.23,123.12,TARGET_HIT,3032.55,60.25,2972.3,65,1,22251.1,0.5146,0.14,14.0,2025-03-06,1.5,0,EMA_PULLBACK,1.0,STRONG_BULL
COMPLETED,CALL,CE,22250,2025-03-13,2025-03-05T10:20:00,2025-03-05T12:30:00,117.96,193.08,82.57,194.64,TARGET_HIT,4882.77,67.94,4814.82,65,1,22236.6,0.5019,0.14,14.0,2025-03-11,0.8,0,EMA_PULLBACK,1.0,BULL_PULLBACK
COMPLETED,CALL,CE,22550,2025-03-20,2025-03-17T09:55:00,2025-03-17T10:15:00,99.23,68.7,69.46,163.73,SL_HIT,-1984.63,57.02,-2041.65,65,1,22546.1,0.5112,0.133,13.3,2025-03-19,1.1,0,EMA_PULLBACK,1.0,BULL_PULLBACK
COMPLETED,CALL,CE,23550,2025-03-27,2025-03-24T09:55:00,2025-03-24T11:10:00,146.93,172.24,105.79,232.16,SL_HIT,1644.79,67.48,1577.31,65,1,23542.1,0.5148,0.137,13.7,2025-03-24,0.5,0,RELAXED_ORB,1.0,STRONG_BULL
COMPLETED,CALL,CE,23500,2025-03-27,2025-03-24T09:45:00,2025-03-24T11:10:00,132.85,183.79,92.99,219.2,SL_HIT,3311.21,67.82,3243.39,65,1,23502.65,0.5243,0.1364,13.64,2025-03-25,0.8,0,EMA_PULLBACK,1.0,STRONG_BULL
COMPLETED,CALL,CE,23800,2025-03-27,2025-03-25T09:45:00,2025-03-25T10:35:00,138.9,99.21,100.01,219.46,SL_HIT,-2580.0,61.2,-2641.2,65,1,23810.85,0.5347,0.1364,13.64,2025-03-25,0.8,0,RELAXED_ORB,1.0,STRONG_BULL
COMPLETED,CALL,CE,23250,2025-03-27,2025-03-21T09:40:00,2025-03-21T11:10:00,92.11,113.83,64.47,151.98,SL_HIT,1412.06,60.39,1351.67,65,1,23273.85,0.5637,0.133,13.3,2025-03-27,1.5,0,EMA_PULLBACK,1.0,BULL_PULLBACK
COMPLETED,CALL,CE,22400,2025-04-17,2025-04-08T10:20:00,2025-04-08T10:35:00,122.49,84.8,85.74,202.11,SL_HIT,-2449.87,59.33,-2509.2,65,1,22411.35,0.5315,0.1587,15.87,2025-04-16,1.1,0,EMA_PULLBACK,0.85,BULL_PULLBACK
COMPLETED,CALL,CE,22550,2025-04-17,2025-04-08T12:20:00,2025-04-08T12:30:00,65.18,105.93,45.62,107.54,TARGET_HIT,2648.92,58.6,2590.32,65,1,22550.65,0.5106,0.1547,15.47,2025-04-17,1.5,0,EMA_PULLBACK,1.0,BULL_PULLBACK
COMPLETED,CALL,CE,24050,2025-04-24,2025-04-21T10:25:00,2025-04-21T11:35:00,90.24,107.12,63.17,148.9,SL_HIT,1096.81,59.77,1037.05,65,1,24045.65,0.5031,0.1625,16.25,2025-04-24,1.5,0,EMA_PULLBACK,1.0,BULL_PULLBACK
COMPLETED,CALL,CE,24750,2025-05-15,2025-05-14T09:40:00,2025-05-14T10:50:00,102.36,70.58,71.65,168.9,SL_HIT,-2065.94,57.31,-2123.25,65,1,24742.8,0.5001,0.1689,16.89,2025-05-15,1.5,0,EMA_PULLBACK,1.0,BULL_PULLBACK
COMPLETED,CALL,CE,24850,2025-06-12,2025-06-06T10:30:00,2025-06-06T11:40:00,116.6,190.27,81.62,192.39,TARGET_HIT,4788.7,67.66,4721.05,65,1,24860.55,0.5328,0.1367,13.67,2025-06-11,1.1,0,EMA_PULLBACK,1.0,BULL_PULLBACK
COMPLETED,CALL,CE,24850,2025-06-12,2025-06-06T10:30:00,2025-06-06T11:00:00,87.7,142.54,61.39,144.71,TARGET_HIT,3564.43,62.54,3501.9,65,1,24860.55,0.5334,0.1402,14.02,2025-06-12,1.5,0,EMA_PULLBACK,1.0,BULL_PULLBACK
