status,direction,option_type,strike,expiry,trade_date,exit_date,entry_ts,exit_ts,entry_price,exit_price,sl_price,target_price,exit_reason,gross_pnl,charges,net_pnl,qty,lots,spot_at_entry,vix,atr,delta_at_entry,slippage_pct,strategy,regime
COMPLETED,CALL,CE,17800,2023-05-04,2023-04-27,2023-04-28,2023-04-27T09:35:00,2023-04-28T15:20:00,131.55,271.07,121.02,157.85,SL_HIT,9069.37,74.87,8994.51,65,1,17813.1,11.43,154.23,0.553,0.5,FALLBACK_ORB,RANGE
COMPLETED,CALL,CE,18100,2023-05-04,2023-05-03,2023-05-04,2023-05-03T09:35:00,2023-05-04T15:20:00,54.38,138.78,50.03,65.26,SL_HIT,5486.14,60.81,5425.33,65,1,18113.8,11.84,158.28,0.5615,1.1,FALLBACK_ORB,RANGE
COMPLETED,CALL,CE,18100,2023-05-11,2023-05-04,2023-05-05,2023-05-04T09:35:00,2023-05-05T15:20:00,119.54,109.43,109.98,143.45,SL_HIT,-657.35,61.2,-718.55,65,1,18081.0,11.73,160.68,0.5081,0.5,FALLBACK_ORB,RANGE
COMPLETED,CALL,CE,18100,2023-05-11,2023-05-05,2023-05-08,2023-05-05T09:35:00,2023-05-08T15:20:00,133.78,175.53,123.08,160.54,SL_HIT,2713.32,67.19,2646.14,65,1,18117.3,12.3,164.41,0.5542,0.5,FALLBACK_ORB,RANGE
COMPLETED,CALL,CE,18100,2023-05-11,2023-05-08,2023-05-09,2023-05-08T09:35:00,2023-05-09T15:20:00,99.28,166.75,91.34,119.13,SL_HIT,4385.53,65.0,4320.52,65,1,18120.6,12.64,168.12,0.5603,0.5,FALLBACK_ORB,RANGE
COMPLETED,CALL,CE,18450,2023-05-18,2023-05-16,2023-05-17,2023-05-16T09:35:00,2023-05-17T15:20:00,67.49,61.6,62.09,80.99,SL_HIT,-383.25,55.09,-438.34,65,1,18432.35,13.29,158.81,0.4776,0.8,FALLBACK_ORB,RANGE
COMPLETED,CALL,CE,18300,2023-05-18,2023-05-17,2023-05-18,2023-05-17T09:35:00,2023-05-18T15:20:00,52.54,47.81,48.34,63.05,SL_HIT,-307.78,53.33,-361.11,65,1,18300.45,13.11,158.61,0.5131,1.1,FALLBACK_ORB,RANGE
COMPLETED,CALL,CE,18300,2023-05-25,2023-05-18,2023-05-19,2023-05-18T09:35:00,2023-05-19T15:20:00,135.17,123.74,124.36,162.21,SL_HIT,-743.31,63.04,-806.35,65,1,18287.5,12.8,159.11,0.5162,0.5,FALLBACK_ORB,RANGE
COMPLETED,CALL,CE,18200,2023-05-25,2023-05-19,2023-05-22,2023-05-19T09:35:00,2023-05-22T15:20:00,117.8,141.4,108.37,141.36,SL_HIT,1534.44,63.73,1470.71,65,1,18186.15,12.3,159.46,0.5109,0.5,FALLBACK_ORB,TREND
COMPLETED,CALL,CE,18200,2023-05-25,2023-05-22,2023-05-23,2023-05-22T09:35:00,2023-05-23T15:20:00,88.69,153.39,81.59,106.42,SL_HIT,4205.38,63.46,4141.92,65,1,18201.1,12.57,159.93,0.5231,0.5,FALLBACK_ORB,TREND
COMPLETED,CALL,CE,18350,2023-05-25,2023-05-23,2023-05-24,2023-05-23T09:35:00,2023-05-24T15:20:00,79.13,69.08,69.63,102.87,SL_HIT,-653.42,56.2,-709.61,65,1,18362.9,12.61,160.34,0.547,0.8,ORB_DAILY,TREND
COMPLETED,CALL,CE,18300,2023-05-25,2023-05-24,2023-05-25,2023-05-24T09:35:00,2023-05-25T15:20:00,49.91,45.18,45.91,59.89,SL_HIT,-307.27,53.01,-360.28,65,1,18294.8,13.11,160.49,0.4952,1.6,FALLBACK_ORB,TREND
COMPLETED,CALL,CE,18250,2023-06-01,2023-05-25,2023-05-26,2023-05-25T09:35:00,2023-05-26T15:20:00,148.87,266.68,136.96,178.64,SL_HIT,7657.69,75.25,7582.44,65,1,18268.9,12.52,160.47,0.5558,0.5,FALLBACK_ORB,TREND
COMPLETED,CALL,CE,18350,2023-06-01,2023-05-26,2023-05-29,2023-05-26T09:35:00,2023-05-29T15:20:00,132.34,171.19,116.46,172.05,TARGET_HIT,2524.77,66.77,2458.0,65,1,18368.35,11.9,160.19,0.5569,0.5,ORB_DAILY,TREND
COMPLETED,CALL,CE,18600,2023-06-01,2023-05-29,2023-05-30,2023-05-29T09:35:00,2023-05-30T15:20:00,98.61,86.34,86.78,128.19,SL_HIT,-797.36,58.43,-855.79,65,1,18619.15,12.3,159.62,0.5579,0.5,ORB_DAILY,TREND
COMPLETED,CALL,CE,18600,2023-06-01,2023-05-30,2023-05-31,2023-05-30T09:35:00,2023-05-31T15:20:00,73.4,66.99,67.53,88.08,SL_HIT,-416.79,55.78,-472.58,65,1,18606.65,12.01,159.63,0.5338,0.8,FALLBACK_ORB,TREND
COMPLETED,CALL,CE,18600,2023-06-01,2023-05-31,2023-06-01,2023-05-31T09:35:00,2023-06-01T15:20:00,45.97,41.62,42.29,55.16,SL_HIT,-283.03,52.55,-335.57,65,1,18594.2,11.97,159.62,0.4927,1.6,FALLBACK_ORB,TREND
COMPLETED,CALL,CE,18600,2023-06-08,2023-06-01,2023-06-02,2023-06-01T09:35:00,2023-06-02T15:20:00,120.95,110.72,111.28,145.14,SL_HIT,-665.12,61.37,-726.49,65,1,18579.4,11.6,159.62,0.5066,0.5,FALLBACK_ORB,TREND
COMPLETED,CALL,CE,18550,2023-06-08,2023-06-02,2023-06-05,2023-06-02T09:35:00,2023-06-05T15:20:00,116.78,106.9,107.44,140.14,SL_HIT,-642.18,60.88,-703.06,65,1,18550.85,11.13,159.64,0.534,0.5,FALLBACK_ORB,TREND
COMPLETED,CALL,CE,18750,2023-06-15,2023-06-08,2023-06-09,2023-06-08T09:35:00,2023-06-09T15:20:00,116.43,106.58,107.11,139.71,SL_HIT,-640.22,60.84,-701.06,65,1,18725.35,11.26,159.88,0.5013,0.5,FALLBACK_ORB,TREND
COMPLETED,CALL,CE,18650,2023-06-15,2023-06-09,2023-06-12,2023-06-09T09:35:00,2023-06-12T15:20:00,120.04,109.89,110.44,144.05,SL_HIT,-660.11,61.26,-721.37,65,1,18655.9,11.12,159.91,0.5415,0.5,FALLBACK_ORB,TREND
COMPLETED,CALL,CE,18600,2023-06-15,2023-06-12,2023-06-13,2023-06-12T09:35:00,2023-06-13T15:20:00,78.56,126.95,72.28,94.27,SL_HIT,3145.59,60.88,3084.71,65,1,18595.05,11.25,159.9,0.5125,0.5,FALLBACK_ORB,TREND
COMPLETED,CALL,CE,18650,2023-06-15,2023-06-13,2023-06-14,2023-06-13T09:35:00,2023-06-14T15:20:00,55.99,105.54,51.51,67.18,SL_HIT,3220.69,58.18,3162.51,65,1,18631.8,11.11,159.87,0.4716,0.8,FALLBACK_ORB,TREND
COMPLETED,CALL,CE,18750,2023-06-15,2023-06-14,2023-06-15,2023-06-14T09:35:00,2023-06-15T15:20:00,43.34,37.53,38.14,56.35,SL_HIT,-377.75,52.1,-429.85,65,1,18744.6,11.16,159.83,0.4937,1.6,ORB_DAILY,TREND
COMPLETED,CALL,CE,18750,2023-06-22,2023-06-15,2023-06-16,2023-06-15T09:35:00,2023-06-16T15:20:00,140.97,140.96,129.69,169.16,SL_HIT,-0.23,64.68,-64.91,65,1,18774.45,11.08,159.78,0.569,0.5,ORB_DAILY,TREND
COMPLETED,CALL,CE,18850,2023-06-22,2023-06-19,2023-06-20,2023-06-19T09:35:00,2023-06-20T15:20:00,94.9,83.09,83.51,123.37,SL_HIT,-767.36,58.01,-825.37,65,1,18873.3,11.23,159.76,0.571,0.5,ORB_DAILY,TREND
COMPLETED,CALL,CE,18750,2023-06-22,2023-06-20,2023-06-21,2023-06-20T09:35:00,2023-06-21T15:20:00,66.77,106.43,61.43,80.12,SL_HIT,2578.07,58.71,2519.36,65,1,18752.35,11.13,159.77,0.5249,0.8,FALLBACK_ORB,TREND
COMPLETED,CALL,CE,18850,2023-06-22,2023-06-21,2023-06-22,2023-06-21T09:35:00,2023-06-22T15:20:00,46.56,40.32,40.97,60.53,SL_HIT,-405.78,52.47,-458.25,65,1,18849.4,11.29,159.78,0.5111,1.6,ORB_DAILY,TREND
COMPLETED,CALL,CE,18850,2023-06-29,2023-06-22,2023-06-23,2023-06-22T09:35:00,2023-06-23T15:20:00,134.92,123.5,124.12,161.9,SL_HIT,-741.91,63.01,-804.91,65,1,18853.6,11.55,159.8,0.539,0.5,FALLBACK_ORB,TREND
COMPLETED,CALL,CE,18750,2023-06-29,2023-06-23,2023-06-26,2023-06-23T09:35:00,2023-06-26T15:20:00,114.32,104.65,105.18,137.19,SL_HIT,-628.67,60.59,-689.26,65,1,18741.85,11.24,159.81,0.5204,0.5,FALLBACK_ORB,TREND
COMPLETED,CALL,CE,18700,2023-06-29,2023-06-26,2023-06-27,2023-06-26T09:35:00,2023-06-27T15:20:00,73.64,128.62,67.75,88.37,SL_HIT,3573.78,60.81,3512.97,65,1,18682.35,11.4,159.82,0.4862,0.5,FALLBACK_ORB,TREND
COMPLETED,CALL,CE,19400,2023-07-06,2023-07-05,2023-07-06,2023-07-05T09:35:00,2023-07-06T15:20:00,53.56,86.72,49.28,64.27,SL_HIT,2155.38,56.54,2098.84,65,1,19405.95,11.88,159.8,0.5323,1.1,FALLBACK_ORB,TREND
COMPLETED,CALL,CE,19400,2023-07-13,2023-07-07,2023-07-10,2023-07-07T09:35:00,2023-07-10T15:20:00,138.18,126.49,127.12,165.81,SL_HIT,-759.84,63.39,-823.23,65,1,19422.8,11.53,159.8,0.5632,0.5,FALLBACK_ORB,TREND
COMPLETED,CALL,CE,19400,2023-07-13,2023-07-10,2023-07-11,2023-07-10T09:35:00,2023-07-11T15:20:00,86.29,78.99,79.38,103.54,SL_HIT,-474.49,57.31,-531.8,65,1,19400.35,11.46,159.8,0.5233,0.5,FALLBACK_ORB,TREND
COMPLETED,CALL,CE,19450,2023-07-13,2023-07-11,2023-07-12,2023-07-11T09:35:00,2023-07-12T15:20:00,55.97,51.08,51.49,67.16,SL_HIT,-317.81,53.74,-371.56,65,1,19427.1,11.01,159.8,0.4615,0.8,FALLBACK_ORB,TREND
COMPLETED,CALL,CE,19800,2023-07-27,2023-07-21,2023-07-24,2023-07-21T09:35:00,2023-07-24T15:20:00,128.06,117.22,117.81,153.67,SL_HIT,-704.18,62.2,-766.39,65,1,19800.45,11.49,159.8,0.5325,0.5,FALLBACK_ORB,TREND
COMPLETED,CALL,CE,19750,2023-07-27,2023-07-24,2023-07-25,2023-07-24T09:35:00,2023-07-25T15:20:00,88.21,80.74,81.15,105.85,SL_HIT,-485.05,57.53,-542.59,65,1,19748.45,11.65,159.8,0.5193,0.5,FALLBACK_ORB,TREND
COMPLETED,CALL,CE,19650,2023-08-03,2023-08-02,2023-08-03,2023-08-02T09:35:00,2023-08-03T15:20:00,51.43,46.8,47.32,61.72,SL_HIT,-301.28,53.2,-354.48,65,1,19655.4,11.28,159.8,0.5317,1.1,FALLBACK_ORB,TREND
COMPLETED,PUT,PE,19350,2023-08-17,2023-08-16,2023-08-17,2023-08-16T09:35:00,2023-08-17T15:20:00,39.24,35.53,36.1,47.09,SL_HIT,-241.61,51.76,-293.37,65,1,19369.0,12.13,159.8,-0.4263,1.6,FALLBACK_ORB,RANGE
COMPLETED,PUT,PE,19450,2023-08-24,2023-08-17,2023-08-18,2023-08-17T09:35:00,2023-08-18T15:20:00,120.02,170.14,110.42,144.03,SL_HIT,3257.51,66.16,3191.35,65,1,19450.55,12.24,159.8,-0.4667,0.5,FALLBACK_ORB,TREND
COMPLETED,PUT,PE,19300,2023-08-24,2023-08-18,2023-08-21,2023-08-18T09:35:00,2023-08-21T15:20:00,109.48,95.86,96.34,142.32,SL_HIT,-885.26,59.67,-944.93,65,1,19301.75,12.14,159.8,-0.4672,0.5,ORB_DAILY,TREND
COMPLETED,PUT,PE,19300,2023-08-24,2023-08-21,2023-08-22,2023-08-21T09:35:00,2023-08-22T15:20:00,69.28,63.42,63.74,83.14,SL_HIT,-381.0,55.32,-436.31,65,1,19320.65,11.96,159.8,-0.4391,0.5,FALLBACK_ORB,TREND
COMPLETED,PUT,PE,19400,2023-08-24,2023-08-22,2023-08-23,2023-08-22T09:35:00,2023-08-23T15:20:00,56.46,51.53,51.94,67.75,SL_HIT,-320.59,53.8,-374.39,65,1,19417.1,11.75,159.8,-0.4417,0.8,FALLBACK_ORB,TREND
COMPLETED,PUT,PE,19450,2023-08-24,2023-08-23,2023-08-24,2023-08-23T09:35:00,2023-08-24T15:20:00,51.95,56.25,47.79,62.34,SL_HIT,279.57,53.99,225.57,65,1,19439.2,11.73,159.8,-0.5233,1.1,FALLBACK_ORB,TREND
COMPLETED,PUT,PE,19300,2023-08-31,2023-08-25,2023-08-28,2023-08-25T09:35:00,2023-08-28T15:20:00,110.94,97.14,97.63,144.22,SL_HIT,-897.07,59.84,-956.91,65,1,19297.4,12.08,159.8,-0.4729,0.5,ORB_DAILY,RANGE
COMPLETED,PUT,PE,19300,2023-08-31,2023-08-28,2023-08-29,2023-08-28T09:35:00,2023-08-29T15:20:00,82.68,75.69,76.07,99.22,SL_HIT,-454.66,56.89,-511.55,65,1,19298.35,12.4,159.8,-0.4818,0.5,FALLBACK_ORB,RANGE
COMPLETED,PUT,PE,19350,2023-08-31,2023-08-29,2023-08-30,2023-08-29T09:35:00,2023-08-30T15:20:00,55.63,50.77,51.18,66.76,SL_HIT,-315.9,53.7,-369.61,65,1,19374.85,12.23,159.8,-0.4264,0.8,FALLBACK_ORB,RANGE
COMPLETED,PUT,PE,19450,2023-08-31,2023-08-30,2023-08-31,2023-08-30T09:35:00,2023-08-31T15:20:00,55.33,174.52,50.9,66.4,SL_HIT,7747.6,63.76,7683.84,65,1,19433.45,11.8,159.8,-0.5422,1.1,FALLBACK_ORB,RANGE
COMPLETED,PUT,PE,19400,2023-09-07,2023-08-31,2023-09-01,2023-08-31T09:35:00,2023-09-01T15:20:00,129.88,118.89,119.49,155.86,SL_HIT,-714.22,62.42,-776.64,65,1,19375.55,12.06,159.8,-0.497,0.5,FALLBACK_ORB,RANGE
COMPLETED,CALL,CE,20100,2023-09-14,2023-09-12,2023-09-13,2023-09-12T09:35:00,2023-09-13T15:20:00,79.02,68.98,69.54,102.72,SL_HIT,-652.5,56.18,-708.68,65,1,20110.15,11.69,159.8,0.5413,0.8,ORB_DAILY,RANGE
COMPLETED,CALL,CE,20000,2023-09-21,2023-09-20,2023-09-21,2023-09-20T09:35:00,2023-09-21T15:20:00,39.66,35.9,36.48,47.59,SL_HIT,-244.16,51.81,-295.97,65,1,19980.75,11.13,159.8,0.4476,1.6,FALLBACK_ORB,RANGE
COMPLETED,CALL,CE,19700,2023-09-28,2023-09-26,2023-09-27,2023-09-26T09:35:00,2023-09-27T15:20:00,60.57,55.28,55.73,72.69,SL_HIT,-343.97,54.28,-398.25,65,1,19682.8,11.19,159.8,0.4768,0.8,FALLBACK_ORB,RANGE
COMPLETED,CALL,CE,19650,2023-09-28,2023-09-27,2023-09-28,2023-09-27T09:35:00,2023-09-28T15:20:00,43.65,39.51,40.16,52.38,SL_HIT,-268.73,52.28,-321.01,65,1,19637.05,11.59,159.8,0.4696,1.6,FALLBACK_ORB,RANGE
COMPLETED,PUT,PE,19450,2023-10-05,2023-10-04,2023-10-05,2023-10-04T09:35:00,2023-10-05T15:20:00,48.23,41.76,42.44,62.69,SL_HIT,-420.29,52.66,-472.95,65,1,19446.3,11.66,159.8,-0.4996,1.6,ORB_DAILY,RANGE
COMPLETED,PUT,PE,19550,2023-10-12,2023-10-09,2023-10-10,2023-10-09T09:35:00,2023-10-10T15:20:00,81.02,70.94,71.3,105.33,SL_HIT,-655.14,56.43,-711.57,65,1,19539.45,11.4,159.8,-0.4982,0.5,ORB_DAILY,RANGE
COMPLETED,PUT,PE,19550,2023-10-12,2023-10-10,2023-10-11,2023-10-10T09:35:00,2023-10-11T15:20:00,54.86,50.06,50.47,65.83,SL_HIT,-311.49,53.61,-365.11,65,1,19565.6,11.27,159.8,-0.4434,0.8,FALLBACK_ORB,RANGE
COMPLETED,CALL,CE,19750,2023-10-19,2023-10-16,2023-10-17,2023-10-16T09:35:00,2023-10-17T15:20:00,78.32,93.68,72.06,93.99,SL_HIT,998.52,58.16,940.36,65,1,19737.25,11.07,159.8,0.4976,0.5,FALLBACK_ORB,RANGE
COMPLETED,PUT,PE,19300,2023-10-26,2023-10-25,2023-10-26,2023-10-25T09:35:00,2023-10-26T15:20:00,51.36,393.98,47.25,61.63,SL_HIT,22270.62,81.44,22189.18,65,1,19286.45,11.31,159.8,-0.5341,1.1,FALLBACK_ORB,RANGE
COMPLETED,PUT,PE,19050,2023-11-02,2023-10-26,2023-10-27,2023-10-26T09:35:00,2023-10-27T15:20:00,123.43,112.98,113.55,148.11,SL_HIT,-678.72,61.66,-740.38,65,1,19027.25,11.73,159.8,-0.4955,0.5,ORB_DAILY,RANGE
COMPLETED,PUT,PE,19050,2023-11-02,2023-10-30,2023-10-31,2023-10-30T09:35:00,2023-10-31T15:20:00,72.91,66.74,67.08,87.49,SL_HIT,-400.94,55.74,-456.69,65,1,19053.4,11.49,159.8,-0.4707,0.5,FALLBACK_ORB,TREND
COMPLETED,PUT,PE,19250,2023-11-02,2023-10-31,2023-11-01,2023-10-31T09:35:00,2023-11-01T15:20:00,73.01,230.38,67.17,87.61,SL_HIT,10229.22,69.06,10160.16,65,1,19232.95,11.83,159.8,-0.5224,0.8,FALLBACK_ORB,TREND
COMPLETED,PUT,PE,19100,2023-11-09,2023-11-02,2023-11-03,2023-11-02T09:35:00,2023-11-03T15:20:00,96.79,88.6,89.05,116.15,SL_HIT,-532.27,58.54,-590.81,65,1,19120.0,11.08,159.8,-0.4376,0.5,FALLBACK_ORB,TREND
COMPLETED,PUT,PE,19350,2023-11-09,2023-11-06,2023-11-07,2023-11-06T09:35:00,2023-11-07T15:20:00,75.04,68.7,69.04,90.05,SL_HIT,-412.67,55.99,-468.66,65,1,19345.85,11.11,159.8,-0.4853,0.5,FALLBACK_ORB,TREND
COMPLETED,PUT,PE,19400,2023-11-09,2023-11-07,2023-11-08,2023-11-07T09:35:00,2023-11-08T15:20:00,59.24,54.07,54.5,71.09,SL_HIT,-336.4,54.13,-390.53,65,1,19404.05,11.19,159.8,-0.4712,0.8,FALLBACK_ORB,RANGE
COMPLETED,PUT,PE,19450,2023-11-09,2023-11-08,2023-11-09,2023-11-08T09:35:00,2023-11-09T15:20:00,44.01,48.36,40.49,52.81,SL_HIT,282.77,53.01,229.76,65,1,19449.6,11.04,159.8,-0.488,1.6,FALLBACK_ORB,RANGE
COMPLETED,PUT,PE,19350,2023-11-16,2023-11-10,2023-11-13,2023-11-10T09:35:00,2023-11-13T15:20:00,99.51,87.13,87.57,129.36,SL_HIT,-804.64,58.54,-863.18,65,1,19351.85,11.11,159.8,-0.4646,0.5,ORB_DAILY,RANGE
COMPLETED,CALL,CE,19650,2023-11-16,2023-11-15,2023-11-16,2023-11-15T09:35:00,2023-11-16T15:20:00,48.97,102.13,43.09,63.66,SL_HIT,3455.62,57.6,3398.02,65,1,19651.4,11.14,159.8,0.5182,1.6,ORB_DAILY,RANGE
COMPLETED,CALL,CE,21300,2023-12-28,2023-12-22,2023-12-26,2023-12-22T09:35:00,2023-12-26T15:20:00,159.55,159.54,140.4,207.41,SL_HIT,-0.26,66.99,-67.25,65,1,21295.85,13.71,159.8,0.5233,0.5,ORB_DAILY,TREND
COMPLETED,CALL,CE,21350,2023-12-28,2023-12-26,2023-12-27,2023-12-26T09:35:00,2023-12-27T15:20:00,105.25,277.25,96.83,126.31,SL_HIT,11179.53,74.25,11105.29,65,1,21365.2,14.68,159.8,0.5413,0.8,FALLBACK_ORB,TREND
COMPLETED,CALL,CE,21500,2023-12-28,2023-12-27,2023-12-28,2023-12-27T09:35:00,2023-12-28T15:20:00,71.37,248.19,62.8,92.78,SL_HIT,11493.89,70.44,11423.46,65,1,21497.65,15.56,159.8,0.505,1.1,ORB_DAILY,TREND
COMPLETED,CALL,CE,21750,2024-01-04,2023-12-29,2024-01-01,2023-12-29T09:35:00,2024-01-01T15:20:00,167.51,153.34,154.11,201.01,SL_HIT,-921.13,66.82,-987.95,65,1,21737.65,14.5,159.8,0.5144,0.5,FALLBACK_ORB,TREND
COMPLETED,CALL,CE,21750,2024-01-04,2024-01-01,2024-01-02,2024-01-01T09:35:00,2024-01-02T15:20:00,105.33,96.42,96.91,126.4,SL_HIT,-579.23,59.54,-638.77,65,1,21727.75,14.0,159.8,0.4872,0.5,FALLBACK_ORB,TREND
COMPLETED,CALL,CE,21750,2024-01-04,2024-01-02,2024-01-03,2024-01-02T09:35:00,2024-01-03T15:20:00,99.04,90.38,91.11,118.84,SL_HIT,-562.37,58.78,-621.15,65,1,21751.35,14.58,159.8,0.5176,0.8,FALLBACK_ORB,RANGE
COMPLETED,CALL,CE,21650,2024-01-04,2024-01-03,2024-01-04,2024-01-03T09:35:00,2024-01-04T15:20:00,72.3,65.78,66.51,86.76,SL_HIT,-423.51,55.64,-479.14,65,1,21661.1,14.1,159.8,0.5387,1.1,FALLBACK_ORB,RANGE
