status,direction,option_type,strike,expiry,trade_date,exit_date,entry_ts,exit_ts,entry_price,exit_price,sl_price,target_price,exit_reason,gross_pnl,charges,net_pnl,qty,lots,spot_at_entry,vix,atr,delta_at_entry,slippage_pct,strategy,regime
COMPLETED,CALL,CE,18350,2023-05-25,2023-05-23,2023-05-24,2023-05-23T09:35:00,2023-05-24T15:20:00,79.13,69.08,69.63,102.87,SL_HIT,-653.42,56.2,-709.61,65,1,18362.9,12.61,160.34,0.547,0.8,ORB_DAILY,TREND
COMPLETED,CALL,CE,18350,2023-06-01,2023-05-26,2023-05-29,2023-05-26T09:35:00,2023-05-29T15:20:00,132.34,171.19,116.46,172.05,TARGET_HIT,2524.77,66.77,2458.0,65,1,18368.35,11.9,160.19,0.5569,0.5,ORB_DAILY,TREND
COMPLETED,CALL,CE,18600,2023-06-01,2023-05-29,2023-05-30,2023-05-29T09:35:00,2023-05-30T15:20:00,98.61,86.34,86.78,128.19,SL_HIT,-797.36,58.43,-855.79,65,1,18619.15,12.3,159.62,0.5579,0.5,ORB_DAILY,TREND
COMPLETED,CALL,CE,18600,2023-06-08,2023-06-05,2023-06-06,2023-06-05T09:35:00,2023-06-06T15:20:00,86.85,76.05,76.43,112.91,SL_HIT,-702.31,57.09,-759.4,65,1,18612.0,11.14,159.68,0.5485,0.5,ORB_DAILY,TREND
COMPLETED,CALL,CE,18750,2023-06-15,2023-06-14,2023-06-15,2023-06-14T09:35:00,2023-06-15T15:20:00,43.34,37.53,38.14,56.35,SL_HIT,-377.75,52.1,-429.85,65,1,18744.6,11.16,159.83,0.4937,1.6,ORB_DAILY,TREND
COMPLETED,CALL,CE,18750,2023-06-22,2023-06-15,2023-06-16,2023-06-15T09:35:00,2023-06-16T15:20:00,140.97,140.96,129.69,169.16,SL_HIT,-0.23,64.68,-64.91,65,1,18774.45,11.08,159.78,0.569,0.5,ORB_DAILY,TREND
COMPLETED,CALL,CE,18850,2023-06-22,2023-06-19,2023-06-20,2023-06-19T09:35:00,2023-06-20T15:20:00,94.9,83.09,83.51,123.37,SL_HIT,-767.36,58.01,-825.37,65,1,18873.3,11.23,159.76,0.571,0.5,ORB_DAILY,TREND
COMPLETED,PUT,PE,19300,2023-08-24,2023-08-18,2023-08-21,2023-08-18T09:35:00,2023-08-21T15:20:00,109.48,95.86,96.34,142.32,SL_HIT,-885.26,59.67,-944.93,65,1,19301.75,12.14,159.8,-0.4672,0.5,ORB_DAILY,TREND
COMPLETED,PUT,PE,19300,2023-08-31,2023-08-25,2023-08-28,2023-08-25T09:35:00,2023-08-28T15:20:00,110.94,97.14,97.63,144.22,SL_HIT,-897.07,59.84,-956.91,65,1,19297.4,12.08,159.8,-0.4729,0.5,ORB_DAILY,RANGE
COMPLETED,CALL,CE,20100,2023-09-14,2023-09-12,2023-09-13,2023-09-12T09:35:00,2023-09-13T15:20:00,79.02,68.98,69.54,102.72,SL_HIT,-652.5,56.18,-708.68,65,1,20110.15,11.69,159.8,0.5413,0.8,ORB_DAILY,RANGE
